Name,maths,lang
Sosanna,4,35,5
Rosalind,8,610,5
Gaspar,1,67,5
Herve,2,58,2
Jayme,5,110,7
Dasya,5,38,2
Christean,2,103,6
Risa,9,92,7
Florenza,10,65,5
Donella,10,38,3
Cesaro,2,41,7
Beatrisa,9,21,5
Thain,1,76,3
Shaylah,6,72,1
Anne-marie,4,64,3
Swen,8,57,6
Vaclav,1,49,10
Hermine,2,18,1
Sybyl,10,23,10
Ynes,6,103,2
Antonie,9,34,9
Trixie,9,105,4
Mathilde,4,58,1
Merlina,6,84,6
Zared,1,95,3
Brandais,3,37,1
Reggie,10,210,8
Burk,8,75,5
Seymour,5,88,3
Fergus,2,35,5
Jeanette,1,55,4
Arther,5,59,5
Avictor,9,28,5
Lynette,7,210,6
Briano,2,24,6
Daveta,4,72,9
Devonne,10,26,8
Chiarra,6,14,3
Torrey,2,91,3
Hattie,2,57,2
Florenza,10,54,4
Veronica,8,63,4
Jared,6,11,3
Lori,6,110,10
Kristopher,1,24,9
Jeanne,1,11,4
Maximilian,3,310,9
Merrily,5,71,3
Skipton,9,64,9
Tom,10,51,7
Cirilo,2,26,6
Warde,8,79,5
Woodie,10,32,1
Odetta,3,77,9
Cordelie,2,39,1
Wilow,10,82,6
Charissa,5,35,10
Ralina,10,98,2
Charisse,6,51,9
Huntley,8,710,3
Ella,4,36,8
Nelli,2,65,10
Gearalt,4,94,4
Zahara,2,11,4
Dilan,8,67,6
Frederique,5,102,8
Saba,9,89,9
Natalya,1,55,2
Myrah,3,83,5
Magnum,7,12,9
Grace,9,46,6
Ilysa,10,98,8
Clerkclaude,7,210,2
Yetty,8,62,4
Cassandre,6,19,5
Olympie,3,310,3
Joshuah,7,79,2
Kristine,3,47,7
Dean,8,610,10
Ilyssa,9,75,3
Nannie,6,92,10
Feodor,5,63,7
Guglielma,10,39,6
Alla,9,107,7
Rowland,4,108,7
Miquela,7,52,7
Sapphira,4,65,2
Zorina,3,24,9
Rosemonde,10,69,9
Alisa,1,49,5
Ginger,3,41,2
Karlis,9,83,1
Robbin,7,510,8
Kimberly,3,78,1
Udale,7,11,7
Isidor,8,26,3
Farlee,5,109,9
Katleen,8,69,3
Nanine,5,79,9
Marlow,2,45,2
