Name,maths,lang,media,stdv
Sosanna,4,5,4.5,0.7071067811865476
Rosalind,8,5,6.5,2.1213203435596424
Gaspar,1,5,3,2.8284271247461903
Herve,2,2,2,0.0
Jayme,5,7,6,1.4142135623730951
Dasya,5,2,3.5,2.1213203435596424
Christean,2,6,4,2.8284271247461903
Risa,9,7,8,1.4142135623730951
Florenza,10,5,7.5,3.5355339059327378
Donella,10,3,6.5,4.949747468305833
Cesaro,2,7,4.5,3.5355339059327378
Beatrisa,9,5,7,2.8284271247461903
Thain,1,3,2,1.4142135623730951
Shaylah,6,1,3.5,3.5355339059327378
Anne-marie,4,3,3.5,0.7071067811865476
Swen,8,6,7,1.4142135623730951
Vaclav,1,10,5.5,6.363961030678928
Hermine,2,1,1.5,0.7071067811865476
Sybyl,10,10,10,0.0
Ynes,6,2,4,2.8284271247461903
Antonie,9,9,9,0.0
Trixie,9,4,6.5,3.5355339059327378
Mathilde,4,1,2.5,2.1213203435596424
Merlina,6,6,6,0.0
Zared,1,3,2,1.4142135623730951
Brandais,3,1,2,1.4142135623730951
Reggie,10,8,9,1.4142135623730951
Burk,8,5,6.5,2.1213203435596424
Seymour,5,3,4,1.4142135623730951
Fergus,2,5,3.5,2.1213203435596424
Jeanette,1,4,2.5,2.1213203435596424
Arther,5,5,5,0.0
Avictor,9,5,7,2.8284271247461903
Lynette,7,6,6.5,0.7071067811865476
Briano,2,6,4,2.8284271247461903
Daveta,4,9,6.5,3.5355339059327378
Devonne,10,8,9,1.4142135623730951
Chiarra,6,3,4.5,2.1213203435596424
Torrey,2,3,2.5,0.7071067811865476
Hattie,2,2,2,0.0
Florenza,10,4,7,4.242640687119285
Veronica,8,4,6,2.8284271247461903
Jared,6,3,4.5,2.1213203435596424
Lori,6,10,8,2.8284271247461903
Kristopher,1,9,5,5.656854249492381
Jeanne,1,4,2.5,2.1213203435596424
Maximilian,3,9,6,4.242640687119285
Merrily,5,3,4,1.4142135623730951
Skipton,9,9,9,0.0
Tom,10,7,8.5,2.1213203435596424
Cirilo,2,6,4,2.8284271247461903
Warde,8,5,6.5,2.1213203435596424
Woodie,10,1,5.5,6.363961030678928
Odetta,3,9,6,4.242640687119285
Cordelie,2,1,1.5,0.7071067811865476
Wilow,10,6,8,2.8284271247461903
Charissa,5,10,7.5,3.5355339059327378
Ralina,10,2,6,5.656854249492381
Charisse,6,9,7.5,2.1213203435596424
Huntley,8,3,5.5,3.5355339059327378
Ella,4,8,6,2.8284271247461903
Nelli,2,10,6,5.656854249492381
Gearalt,4,4,4,0.0
Zahara,2,4,3,1.4142135623730951
Dilan,8,6,7,1.4142135623730951
Frederique,5,8,6.5,2.1213203435596424
Saba,9,9,9,0.0
Natalya,1,2,1.5,0.7071067811865476
Myrah,3,5,4,1.4142135623730951
Magnum,7,9,8,1.4142135623730951
Grace,9,6,7.5,2.1213203435596424
Ilysa,10,8,9,1.4142135623730951
Clerkclaude,7,2,4.5,3.5355339059327378
Yetty,8,4,6,2.8284271247461903
Cassandre,6,5,5.5,0.7071067811865476
Olympie,3,3,3,0.0
Joshuah,7,2,4.5,3.5355339059327378
Kristine,3,7,5,2.8284271247461903
Dean,8,10,9,1.4142135623730951
Ilyssa,9,3,6,4.242640687119285
Nannie,6,10,8,2.8284271247461903
Feodor,5,7,6,1.4142135623730951
Guglielma,10,6,8,2.8284271247461903
Alla,9,7,8,1.4142135623730951
Rowland,4,7,5.5,2.1213203435596424
Miquela,7,7,7,0.0
Sapphira,4,2,3,1.4142135623730951
Zorina,3,9,6,4.242640687119285
Rosemonde,10,9,9.5,0.7071067811865476
Alisa,1,5,3,2.8284271247461903
Ginger,3,2,2.5,0.7071067811865476
Karlis,9,1,5,5.656854249492381
Robbin,7,8,7.5,0.7071067811865476
Kimberly,3,1,2,1.4142135623730951
Udale,7,7,7,0.0
Isidor,8,3,5.5,3.5355339059327378
Farlee,5,9,7,2.8284271247461903
Katleen,8,3,5.5,3.5355339059327378
Nanine,5,9,7,2.8284271247461903
Marlow,2,2,2,0.0
